target,feature_set,model,r2,rmse,n_train,n_test,n_feat
dy1_cyres_t1,fd_cyres_hist,hgb,0.11833831942989725,0.5624146512435988,1475,590,33
dy1_cyres_t1,fd_cyres_base,ridge,0.11055775133994084,0.5648908242066298,2065,590,27
dy1_cyres_t1,fd_cyres_base,hgb,0.09203600209157659,0.5707421635712658,2065,590,27
dy1_cyres_t1,fd_cyres_hist,ridge,0.06534584368859908,0.5790700638198774,1475,590,33
dy1_cyres_t1,fd_raw_base,hgb,0.005727924528714956,0.5972528958202401,2065,590,26
dy1_cyres_t1,fd_raw_hist,hgb,0.003909798736863812,0.59779871469812,1475,590,32
dy1_cyres_t1,fd_raw_base,ridge,0.00014294031071893087,0.598927979015916,2065,590,26
dy1_cyres_t1,fd_raw_base,train_mean,0.0,0.598970789081143,2065,590,0
dy1_cyres_t1,fd_raw_hist,train_mean,0.0,0.598970789081143,1475,590,0
dy1_cyres_t1,fd_cyres_base,train_mean,0.0,0.598970789081143,2065,590,0
dy1_cyres_t1,fd_cyres_hist,train_mean,0.0,0.598970789081143,1475,590,0
dy1_cyres_t1,fd_raw_hist,ridge,-0.18592800239541107,0.6522811150320982,1475,590,32
dy1_cyres_t1,fd_raw_base,persistence,-1.2914308227314524,0.9066904017865742,2065,590,0
dy1_cyres_t1,fd_raw_hist,persistence,-1.2914308227314524,0.9066904017865742,1475,590,0
dy1_cyres_t1,fd_cyres_base,persistence,-1.2914308227314524,0.9066904017865742,2065,590,0
dy1_cyres_t1,fd_cyres_hist,persistence,-1.2914308227314524,0.9066904017865742,1475,590,0
dy1_t1,fd_raw_hist,ridge,-0.7751659050106607,3.2087569179945494,1475,590,32
dy1_t1,fd_raw_hist,train_mean,-0.9595957968636966,3.371324787169686,1475,590,0
dy1_t1,fd_cyres_hist,train_mean,-0.9595957968636966,3.371324787169686,1475,590,0
dy1_t1,fd_cyres_base,hgb,-1.251080066043106,3.6133731667435005,2065,590,27
dy1_t1,fd_raw_base,train_mean,-1.2571890823534275,3.618272859103068,2065,590,0
dy1_t1,fd_cyres_base,train_mean,-1.2571890823534275,3.618272859103068,2065,590,0
dy1_t1,fd_raw_base,hgb,-1.3851825224202958,3.719445103592193,2065,590,26
dy1_t1,fd_raw_base,ridge,-1.5491551283309137,3.8451693919750127,2065,590,26
dy1_t1,fd_cyres_base,ridge,-1.5536429881115024,3.848552668335014,2065,590,27
dy1_t1,fd_cyres_hist,ridge,-2.8323175197826753,4.7146351126321715,1475,590,33
dy1_t1,fd_cyres_hist,hgb,-3.2547626137281718,4.967696001074504,1475,590,33
dy1_t1,fd_raw_hist,hgb,-3.542126947464343,5.132712965550762,1475,590,32
dy1_t1,fd_raw_base,persistence,-4.1830439250532,5.482893228788492,2065,590,0
dy1_t1,fd_raw_hist,persistence,-4.1830439250532,5.482893228788492,1475,590,0
dy1_t1,fd_cyres_base,persistence,-4.1830439250532,5.482893228788492,2065,590,0
dy1_t1,fd_cyres_hist,persistence,-4.1830439250532,5.482893228788492,1475,590,0
