target,feature_set,model,feature_count,n_train,n_test,rmse,mae,r2
economic_vitality,structural_only,linear,26,2360,590,9.60998165344899,7.543377022107207,0.7040009168386159
economic_vitality,structural_only,hist_gradient_boosting,26,2360,590,2.4316426751568896,1.7190220566405932,0.9810484488491825
economic_vitality,structural_plus_engineered,linear,79,2360,590,8.653018347823375,6.586523087725811,0.7600169890335172
economic_vitality,structural_plus_engineered,hist_gradient_boosting,79,2360,590,2.5144587280369395,1.6914548061152217,0.9797355756214031
economic_vitality,full_plus_pulse_ai,linear,94,2360,590,8.615462988445815,6.562955666648042,0.7620955909171997
economic_vitality,full_plus_pulse_ai,hist_gradient_boosting,94,2360,590,2.525646944747332,1.7015043950175217,0.9795548391659669
economic_vitality,pulse_ai_only,linear,15,2360,590,17.78066576774579,13.357091585408902,-0.013307566315988284
economic_vitality,pulse_ai_only,hist_gradient_boosting,15,2360,590,17.578810503874582,13.222963156352439,0.009569016470011293
livability,structural_only,linear,30,2360,590,2.145482581958546,1.6179103200150446,0.9731186098351577
livability,structural_only,hist_gradient_boosting,30,2360,590,1.8006333225216427,1.357689997846866,0.9810655670168476
livability,structural_plus_engineered,linear,93,2360,590,2.1656395681400915,1.6684670569835915,0.9726111313152658
livability,structural_plus_engineered,hist_gradient_boosting,93,2360,590,1.8209455301840165,1.3976700564175701,0.9806359743971254
livability,full_plus_pulse_ai,linear,108,2360,590,2.0709771536328834,1.5580458305788039,0.9749531938770787
livability,full_plus_pulse_ai,hist_gradient_boosting,108,2360,590,1.8185598705114294,1.4046521840754536,0.9806866796082887
livability,pulse_ai_only,linear,15,2360,590,13.077826098765803,10.708018546783908,0.0012130612556343623
livability,pulse_ai_only,hist_gradient_boosting,15,2360,590,13.377261060280375,10.88967798058644,-0.04504777096992085
innovation,structural_only,linear,30,2360,590,8.189368696106575,5.127808835561471,0.5521190566364236
innovation,structural_only,hist_gradient_boosting,30,2360,590,0.6927102364879965,0.38792924068688256,0.9967954655331934
innovation,structural_plus_engineered,linear,93,2360,590,6.637029388505258,4.1771590591445005,0.7058226594250216
innovation,structural_plus_engineered,hist_gradient_boosting,93,2360,590,2.0497858212638906,0.6345481474738018,0.9719405789756845
innovation,full_plus_pulse_ai,linear,108,2360,590,6.742789432643221,4.330335013854804,0.6963726206138146
innovation,full_plus_pulse_ai,hist_gradient_boosting,108,2360,590,2.0590298440772554,0.63489613046057,0.9716869263264339
innovation,pulse_ai_only,linear,15,2360,590,12.243638523672384,7.07965565740689,-0.001112155288809813
innovation,pulse_ai_only,hist_gradient_boosting,15,2360,590,12.471704812128253,7.208748319246781,-0.03875561045138154
composite_index,structural_only,linear,30,2360,590,5.218367655090808,3.9818360978270704,0.8106585452769881
composite_index,structural_only,hist_gradient_boosting,30,2360,590,1.506218900500472,1.069538117180265,0.9842256109375165
composite_index,structural_plus_engineered,linear,93,2360,590,4.828981728994369,3.6096633927594035,0.8378610013201339
composite_index,structural_plus_engineered,hist_gradient_boosting,93,2360,590,1.5334719877338758,1.1161990187917634,0.9836496122548083
composite_index,full_plus_pulse_ai,linear,108,2360,590,4.786557783438126,3.579216510784501,0.8406973595158902
composite_index,full_plus_pulse_ai,hist_gradient_boosting,108,2360,590,1.5353289724175618,1.1202291736045629,0.9836099887027522
composite_index,pulse_ai_only,linear,15,2360,590,12.0445449926671,9.702704835751367,-0.008688707392866757
composite_index,pulse_ai_only,hist_gradient_boosting,15,2360,590,12.059874312070077,9.654854865396892,-0.011257895535388807
