target_policy_variant,continent,estimator,value,delta_vs_behavior,ci_low,ci_high,delta_ci_low,delta_ci_high,ci_contains_zero_uplift,effective_sample_size,weight_mean,weight_p95,weight_max,n_rows
base_q,Africa,behavior,-28.85627962973117,0.0,-29.72823326473867,-27.90744220270182,,,,400.272712766418,0.8978307786323451,1.9936101669653126,2.9163317895211383,520
base_q,Africa,ips,-23.86394531712302,4.9923343126081505,-25.132642309851672,-22.754398966531404,3.587483285393184,6.274271441804443,False,400.272712766418,0.8978307786323451,1.9936101669653126,2.9163317895211383,520
base_q,Africa,snips,-26.579558069366573,2.276721560364596,-27.588431309793922,-25.61380857795312,1.83597605725029,2.7113218798879695,False,400.272712766418,0.8978307786323451,1.9936101669653126,2.9163317895211383,520
base_q,Africa,dr,-26.701799964354933,2.154479665376236,-27.72474337003548,-25.774737641209637,1.15577721479349,3.0184865273905657,False,400.272712766418,0.8978307786323451,1.9936101669653126,2.9163317895211383,520
base_q,Asia,behavior,-29.284175540545633,0.0,-30.049628099305366,-28.542924809350694,,,,590.726034664526,0.8412768626479106,1.6038686812783995,2.8585200811228226,740
base_q,Asia,ips,-23.10604106318067,6.178134477364964,-23.872027389124046,-22.280261845809537,5.275577769480658,7.125975334967359,False,590.726034664526,0.8412768626479106,1.6038686812783995,2.8585200811228226,740
base_q,Asia,snips,-27.465442221309445,1.8187333192361876,-28.199742449754883,-26.75221730185129,1.4687340070974941,2.155977127387437,False,590.726034664526,0.8412768626479106,1.6038686812783995,2.8585200811228226,740
base_q,Asia,dr,-26.35157967220896,2.932595868336673,-27.10106314343394,-25.574576346231563,2.2797938247670015,3.6057469983322656,False,590.726034664526,0.8412768626479106,1.6038686812783995,2.8585200811228226,740
base_q,Europe,behavior,-26.633143540798798,0.0,-27.50332615840253,-25.82449535815007,,,,553.0229845033259,0.9097971723809065,1.6366881010108274,2.7622473298319257,670
base_q,Europe,ips,-22.872515135325454,3.7606284054733443,-23.720803243394684,-22.08045323941756,2.9142313965733946,4.663025593161586,False,553.0229845033259,0.9097971723809065,1.6366881010108274,2.7622473298319257,670
base_q,Europe,snips,-25.140235460909274,1.4929080798895242,-25.935865669785787,-24.41708217094211,1.1944764721094783,1.8360604804243625,False,553.0229845033259,0.9097971723809065,1.6366881010108274,2.7622473298319257,670
base_q,Europe,dr,-25.035882663573044,1.5972608772257537,-25.85288852332019,-24.3518403337191,0.9685331354343344,2.228191046178698,False,553.0229845033259,0.9097971723809065,1.6366881010108274,2.7622473298319257,670
base_q,North America,behavior,-28.754282907967248,0.0,-29.750929006115218,-27.866588472929426,,,,339.1336713643342,0.8828188628988548,1.8731120230696214,2.8149725632845746,440
base_q,North America,ips,-23.80064583271061,4.953637075256637,-24.958599743951606,-22.631209775681548,3.726668544692714,6.353071980983064,False,339.1336713643342,0.8828188628988548,1.8731120230696214,2.8149725632845746,440
base_q,North America,snips,-26.95982928429732,1.7944536236699271,-27.816521987638133,-26.122220667370872,1.3737749755059696,2.2766291876473854,False,339.1336713643342,0.8828188628988548,1.8731120230696214,2.8149725632845746,440
base_q,North America,dr,-26.85992162068575,1.894361287281498,-27.818699907313444,-25.867233294273035,1.0618390942255078,2.8464435831729826,False,339.1336713643342,0.8828188628988548,1.8731120230696214,2.8149725632845746,440
base_q,Oceania,behavior,-27.436892248953622,0.0,-28.998281494901622,-25.806650392063283,,,,149.29125585935716,0.929614913080178,1.8763458179401078,2.840358718621094,190
base_q,Oceania,ips,-23.72934369625654,3.7075485526970837,-25.424093317676405,-22.07664572715008,1.572834766030526,5.952013569843378,False,149.29125585935716,0.929614913080178,1.8763458179401078,2.840358718621094,190
base_q,Oceania,snips,-25.525992927148657,1.9108993218049655,-26.971703409186016,-24.106072839873832,1.0819129109907863,2.699894065801573,False,149.29125585935716,0.929614913080178,1.8763458179401078,2.840358718621094,190
base_q,Oceania,dr,-26.070556107757827,1.366336141195795,-27.65373287023068,-24.588792255712416,-0.11556947966798994,2.934448674418245,True,149.29125585935716,0.929614913080178,1.8763458179401078,2.840358718621094,190
base_q,South America,behavior,-27.91085205459971,0.0,-29.02386344475371,-26.90474653319418,,,,307.4410775880992,0.8827569395611584,1.687960594104842,2.8065685694832854,390
base_q,South America,ips,-22.656056716698647,5.254795337901065,-23.995982123146238,-21.479175749700936,3.8833314424333385,6.581631712400634,False,307.4410775880992,0.8827569395611584,1.687960594104842,2.8065685694832854,390
base_q,South America,snips,-25.665113126113248,2.245738928486464,-26.628930790269756,-24.71839455578564,1.758477998332189,2.7629744340023326,False,307.4410775880992,0.8827569395611584,1.687960594104842,2.8065685694832854,390
base_q,South America,dr,-25.591461612024478,2.3193904425752336,-26.737781554803465,-24.68051802952364,1.2994416692835409,3.3199851957242417,False,307.4410775880992,0.8827569395611584,1.687960594104842,2.8065685694832854,390
