event_type,event_time,n_obs,mean_rel_growth_adj,mean_rel_risk_adj
enter_deep_cooling,-2,721,-0.9606468572530278,-11.72095093198061
enter_deep_cooling,-1,721,0.0,0.0
enter_deep_cooling,0,721,-1.9442343499023318,-19.74696628164908
enter_deep_cooling,1,647,-0.40091432397784144,-8.779017386080566
enter_deep_cooling,2,569,-0.7275370053619281,-7.9124830886610695
enter_overheating,-2,99,-2.0569650020517685,-23.742183051373054
enter_overheating,-1,99,0.0,0.0
enter_overheating,0,99,-0.8692957361785212,-1.5245675655242494
enter_overheating,1,88,-2.0601128338544936,-19.586571268971127
enter_overheating,2,77,-1.2495760400882316,-14.09211322544529
enter_recovery_rebound,-2,68,2.280618817813607,23.594242308451413
enter_recovery_rebound,-1,68,0.0,0.0
enter_recovery_rebound,0,68,0.7465996468154424,-1.1362754211620962
enter_recovery_rebound,1,62,1.9927869269251761,14.252799338583252
enter_recovery_rebound,2,54,1.3623833471256592,12.495461324236613
enter_surge_expansion,-2,806,0.8104197691070901,10.121674095442527
enter_surge_expansion,-1,806,0.0,0.0
enter_surge_expansion,0,806,1.749420213114383,18.490545677569315
enter_surge_expansion,1,700,0.3389604979519339,8.221017252156871
enter_surge_expansion,2,625,0.7010388466793847,7.494806915657205
