scope,continent,from_state,to_state,n_transitions,from_total,probability,prob_ci_low_95,prob_ci_high_95,upgrade_step
continent,Africa,resilient_accelerator,fragile_boom,8,26,0.3076923076923077,0.16501120939792674,0.49988611514231246,-1
continent,Africa,resilient_accelerator,recovery_window,7,26,0.2692307692307692,0.1370427552506739,0.46083403419761304,-3
continent,Africa,resilient_accelerator,transitional,11,26,0.4230769230769231,0.255441899027294,0.6105170307888017,-2
continent,Africa,fragile_boom,fragile_boom,25,120,0.20833333333333334,0.14528341433799086,0.28947841044463474,0
continent,Africa,fragile_boom,recovery_window,29,120,0.24166666666666667,0.1738573324150334,0.32550314096386357,-2
continent,Africa,fragile_boom,stall_trap,10,120,0.08333333333333333,0.045893154816730314,0.14662373772987763,-3
continent,Africa,fragile_boom,transitional,56,120,0.4666666666666667,0.3798276424616983,0.5555737089420304,-1
continent,Africa,transitional,fragile_boom,52,233,0.22317596566523606,0.1744474901451265,0.28088468123017246,1
continent,Africa,transitional,recovery_window,63,233,0.2703862660944206,0.21742079916163587,0.33080045926593765,-1
continent,Africa,transitional,resilient_accelerator,2,233,0.008583690987124463,0.0023570731889928226,0.030751975221421562,2
continent,Africa,transitional,transitional,116,233,0.4978540772532189,0.4342103370471987,0.5615674317231526,0
continent,Africa,recovery_window,fragile_boom,35,111,0.3153153153153153,0.2362875116059382,0.40669900199192177,2
continent,Africa,recovery_window,recovery_window,17,111,0.15315315315315314,0.09787395226245062,0.23163730498231083,0
continent,Africa,recovery_window,resilient_accelerator,11,111,0.0990990990990991,0.05623963795015534,0.16877986717690663,3
continent,Africa,recovery_window,transitional,48,111,0.43243243243243246,0.3440548366745577,0.5253304731783179,1
continent,Africa,stall_trap,fragile_boom,9,30,0.3,0.16664562643958933,0.4787612101166018,3
continent,Africa,stall_trap,recovery_window,11,30,0.36666666666666664,0.21873702204017678,0.5448675356639506,1
continent,Africa,stall_trap,stall_trap,1,30,0.03333333333333333,0.0059084379948573795,0.16670751396958874,0
continent,Africa,stall_trap,transitional,9,30,0.3,0.16664562643958933,0.4787612101166018,2
continent,Asia,resilient_accelerator,fragile_boom,21,42,0.5,0.3552574591652803,0.6447425408347197,-1
continent,Asia,resilient_accelerator,recovery_window,8,42,0.19047619047619047,0.09981889609856436,0.33301067354996444,-3
continent,Asia,resilient_accelerator,transitional,13,42,0.30952380952380953,0.1907092651972273,0.46026277766340595,-2
continent,Asia,fragile_boom,fragile_boom,30,177,0.1694915254237288,0.12138052794207302,0.23164443976447233,0
continent,Asia,fragile_boom,recovery_window,39,177,0.22033898305084745,0.16557884707515977,0.28698074098422477,-2
continent,Asia,fragile_boom,stall_trap,23,177,0.12994350282485875,0.08817111690063698,0.1874380349759224,-3
continent,Asia,fragile_boom,transitional,85,177,0.480225988700565,0.407827125455326,0.5534649666296809,-1
continent,Asia,transitional,fragile_boom,96,338,0.28402366863905326,0.23858456737997158,0.33431703382947753,1
continent,Asia,transitional,recovery_window,62,338,0.1834319526627219,0.14580786475217827,0.22817119455482238,-1
continent,Asia,transitional,resilient_accelerator,3,338,0.008875739644970414,0.0030229989080035637,0.02576694356827785,2
continent,Asia,transitional,transitional,177,338,0.5236686390532544,0.470456796924006,0.5763485070530406,0
continent,Asia,recovery_window,fragile_boom,45,137,0.3284671532846715,0.2554391208096981,0.41085265661969783,2
continent,Asia,recovery_window,recovery_window,19,137,0.1386861313868613,0.0906163058580338,0.20646637425920433,0
continent,Asia,recovery_window,resilient_accelerator,11,137,0.08029197080291971,0.045422997117338174,0.13805688382692832,3
continent,Asia,recovery_window,transitional,62,137,0.45255474452554745,0.37163400415030007,0.5360637215216605,1
continent,Asia,stall_trap,fragile_boom,10,46,0.21739130434782608,0.12260774618580748,0.35573965839189464,3
continent,Asia,stall_trap,recovery_window,17,46,0.3695652173913043,0.24523559514309495,0.5140016685081521,1
continent,Asia,stall_trap,transitional,19,46,0.41304347826086957,0.2828839329710102,0.5566075761298211,2
continent,Europe,resilient_accelerator,fragile_boom,4,30,0.13333333333333333,0.05309569424218105,0.2968168394441695,-1
continent,Europe,resilient_accelerator,recovery_window,7,30,0.23333333333333334,0.11792239210501232,0.40928672330324267,-3
continent,Europe,resilient_accelerator,transitional,19,30,0.6333333333333333,0.45513246433604937,0.7812629779598231,-2
continent,Europe,fragile_boom,fragile_boom,10,130,0.07692307692307693,0.042316979875752954,0.13581597729152536,0
continent,Europe,fragile_boom,recovery_window,37,130,0.2846153846153846,0.2141010882972002,0.3674938717152324,-2
continent,Europe,fragile_boom,stall_trap,24,130,0.18461538461538463,0.12731550896860322,0.2600199681924588,-3
continent,Europe,fragile_boom,transitional,59,130,0.45384615384615384,0.3708129621217377,0.5395288150237836,-1
continent,Europe,transitional,fragile_boom,70,296,0.23648648648648649,0.19164689332739632,0.28807840162834036,1
continent,Europe,transitional,recovery_window,94,296,0.31756756756756754,0.267159477085231,0.3726503424995097,-1
continent,Europe,transitional,resilient_accelerator,4,296,0.013513513513513514,0.005267269415773624,0.034225582810201695,2
continent,Europe,transitional,transitional,128,296,0.43243243243243246,0.3772153019654477,0.4893809275103822,0
continent,Europe,recovery_window,fragile_boom,54,165,0.32727272727272727,0.26031693573089887,0.4020885378016902,2
continent,Europe,recovery_window,recovery_window,24,165,0.14545454545454545,0.0997331482770563,0.2073096658161529,0
continent,Europe,recovery_window,resilient_accelerator,8,165,0.048484848484848485,0.02476961743449775,0.0927464449577089,3
continent,Europe,recovery_window,transitional,79,165,0.47878787878787876,0.4039168991076268,0.5546241239577788,1
continent,Europe,stall_trap,fragile_boom,8,49,0.16326530612244897,0.08512596988208977,0.29036606669515236,3
continent,Europe,stall_trap,recovery_window,21,49,0.42857142857142855,0.3002310889895705,0.5672975248298444,1
continent,Europe,stall_trap,transitional,20,49,0.40816326530612246,0.2821503460597105,0.5475293002795374,2
continent,North America,resilient_accelerator,fragile_boom,8,25,0.32,0.1720498751689114,0.515900862654233,-1
continent,North America,resilient_accelerator,recovery_window,3,25,0.12,0.04166741357068093,0.2995619218337349,-3
continent,North America,resilient_accelerator,transitional,14,25,0.56,0.3706701701956443,0.7333462505299744,-2
continent,North America,fragile_boom,fragile_boom,20,113,0.17699115044247787,0.11759646319919156,0.25762606028559465,0
continent,North America,fragile_boom,recovery_window,25,113,0.22123893805309736,0.1545837361055079,0.30622474306629394,-2
continent,North America,fragile_boom,stall_trap,8,113,0.07079646017699115,0.03630727319563871,0.13350895664031015,-3
continent,North America,fragile_boom,transitional,60,113,0.5309734513274337,0.43946105198257673,0.6204491169983343,-1
continent,North America,transitional,fragile_boom,54,200,0.27,0.21323354731040559,0.3354356154120221,1
continent,North America,transitional,recovery_window,54,200,0.27,0.21323354731040559,0.3354356154120221,-1
continent,North America,transitional,resilient_accelerator,2,200,0.01,0.0027466006037749346,0.03572248519617954,2
continent,North America,transitional,transitional,90,200,0.45,0.38263948633754313,0.519245114254289,0
continent,North America,recovery_window,fragile_boom,37,86,0.43023255813953487,0.3307917119906583,0.5356398742678231,2
continent,North America,recovery_window,recovery_window,8,86,0.09302325581395349,0.04789171128373092,0.1729592085574117,0
continent,North America,recovery_window,resilient_accelerator,8,86,0.09302325581395349,0.04789171128373092,0.1729592085574117,3
continent,North America,recovery_window,transitional,33,86,0.38372093023255816,0.2880127996939033,0.48937317740356595,1
continent,North America,stall_trap,fragile_boom,6,16,0.375,0.18480982554752803,0.613593529020652,3
continent,North America,stall_trap,recovery_window,2,16,0.125,0.034976749337057134,0.3602333143674828,1
continent,North America,stall_trap,transitional,8,16,0.5,0.27999237611350836,0.7200076238864916,2
continent,Oceania,resilient_accelerator,fragile_boom,6,11,0.5454545454545454,0.2800877556899882,0.7872904245601194,-1
continent,Oceania,resilient_accelerator,recovery_window,4,11,0.36363636363636365,0.15166223614131386,0.6462032231083628,-3
continent,Oceania,resilient_accelerator,transitional,1,11,0.09090909090909091,0.01623175226282597,0.3773646254862038,-2
continent,Oceania,fragile_boom,fragile_boom,3,42,0.07142857142857142,0.02458996355117285,0.19009713288525168,0
continent,Oceania,fragile_boom,recovery_window,13,42,0.30952380952380953,0.1907092651972273,0.46026277766340595,-2
continent,Oceania,fragile_boom,stall_trap,6,42,0.14285714285714285,0.06715875684189933,0.2784138235217878,-3
continent,Oceania,fragile_boom,transitional,20,42,0.47619047619047616,0.33359364475964953,0.6227778605979295,-1
continent,Oceania,transitional,fragile_boom,23,84,0.27380952380952384,0.18992693848374492,0.3774762053569865,1
continent,Oceania,transitional,recovery_window,18,84,0.21428571428571427,0.14006654921749656,0.3134953166865853,-1
continent,Oceania,transitional,resilient_accelerator,3,84,0.03571428571428571,0.012219447773066112,0.09981858432106694,2
continent,Oceania,transitional,transitional,40,84,0.47619047619047616,0.3727826732247559,0.5816808156005842,0
continent,Oceania,recovery_window,fragile_boom,9,40,0.225,0.1231595325467853,0.3750339640409305,2
continent,Oceania,recovery_window,recovery_window,7,40,0.175,0.08745302996883067,0.3195029205439244,0
continent,Oceania,recovery_window,resilient_accelerator,3,40,0.075,0.025835556771858226,0.19864530159097524,3
continent,Oceania,recovery_window,transitional,21,40,0.525,0.37497106853929735,0.6706477044981831,1
continent,Oceania,stall_trap,fragile_boom,4,13,0.3076923076923077,0.1268049716161809,0.5763111218666236,3
continent,Oceania,stall_trap,recovery_window,6,13,0.46153846153846156,0.2320575430148814,0.7085656756816796,1
continent,Oceania,stall_trap,transitional,3,13,0.23076923076923078,0.08179379092465713,0.5025687399512693,2
continent,South America,resilient_accelerator,fragile_boom,9,22,0.4090909090909091,0.2325555966882038,0.6126552261710619,-1
continent,South America,resilient_accelerator,recovery_window,7,22,0.3181818181818182,0.1636038735469248,0.5268177721716065,-3
continent,South America,resilient_accelerator,transitional,6,22,0.2727272727272727,0.1315058201581444,0.4815212369900198,-2
continent,South America,fragile_boom,fragile_boom,19,107,0.17757009345794392,0.11672859553461687,0.26076144430602055,0
continent,South America,fragile_boom,recovery_window,24,107,0.22429906542056074,0.1556144407540678,0.3120944338922743,-2
continent,South America,fragile_boom,stall_trap,14,107,0.1308411214953271,0.07956439701777629,0.20770680801715635,-3
continent,South America,fragile_boom,transitional,50,107,0.4672897196261682,0.3755319718023794,0.5613148438336273,-1
continent,South America,transitional,fragile_boom,54,172,0.313953488372093,0.24930079011064632,0.3867352787149331,1
continent,South America,transitional,recovery_window,38,172,0.22093023255813954,0.1654034598109465,0.2886506434274225,-1
continent,South America,transitional,resilient_accelerator,2,172,0.011627906976744186,0.0031945381701374113,0.04140014249700848,2
continent,South America,transitional,transitional,78,172,0.45348837209302323,0.38091439980908326,0.5280946173973114,0
continent,South America,recovery_window,fragile_boom,30,70,0.42857142857142855,0.31935124886212546,0.5452237332617722,2
continent,South America,recovery_window,recovery_window,3,70,0.04285714285714286,0.014681274851143573,0.11859861074180134,0
continent,South America,recovery_window,resilient_accelerator,3,70,0.04285714285714286,0.014681274851143573,0.11859861074180134,3
continent,South America,recovery_window,transitional,34,70,0.4857142857142857,0.37245682382738127,0.6004581725973981,1
continent,South America,stall_trap,fragile_boom,1,19,0.05263157894736842,0.009351752490529955,0.24639215336545212,3
continent,South America,stall_trap,recovery_window,8,19,0.42105263157894735,0.23141620392030376,0.637244485348399,1
continent,South America,stall_trap,transitional,10,19,0.5263157894736842,0.3170748251182511,0.7267049451255145,2
global,Global,resilient_accelerator,fragile_boom,56,156,0.358974358974359,0.28791948832992426,0.436807991875479,-1
global,Global,resilient_accelerator,recovery_window,36,156,0.23076923076923078,0.17160281233115332,0.30287692260643484,-3
global,Global,resilient_accelerator,transitional,64,156,0.41025641025641024,0.3361274160515165,0.48869916226101273,-2
global,Global,fragile_boom,fragile_boom,107,689,0.15529753265602322,0.1301716437278292,0.18424596630020607,0
global,Global,fragile_boom,recovery_window,167,689,0.24238026124818576,0.21186771765505702,0.27574965405010615,-2
global,Global,fragile_boom,stall_trap,85,689,0.12336719883889695,0.10087894144856163,0.15003208929786005,-3
global,Global,fragile_boom,transitional,330,689,0.47895500725689405,0.4418731290988755,0.5162702618291518,-1
global,Global,transitional,fragile_boom,349,1323,0.2637944066515495,0.2407558482857764,0.2882007355295035,1
global,Global,transitional,recovery_window,329,1323,0.24867724867724866,0.22613523022488563,0.27267457495457215,-1
global,Global,transitional,resilient_accelerator,16,1323,0.012093726379440665,0.007457641117575973,0.019555078411266053,2
global,Global,transitional,transitional,629,1323,0.47543461829176115,0.4486341584111567,0.5023773263056325,0
global,Global,recovery_window,fragile_boom,210,609,0.3448275862068966,0.30815541692554493,0.38344515327073425,2
global,Global,recovery_window,recovery_window,78,609,0.12807881773399016,0.10384955459135081,0.1569708596886198,0
global,Global,recovery_window,resilient_accelerator,44,609,0.0722495894909688,0.0542581389959066,0.09560375027531778,3
global,Global,recovery_window,transitional,277,609,0.4548440065681445,0.41570087991209553,0.49455325427200686,1
global,Global,stall_trap,fragile_boom,38,173,0.21965317919075145,0.16441951609425054,0.2870670119624963,3
global,Global,stall_trap,recovery_window,65,173,0.37572254335260113,0.3069896319960551,0.4498549113693069,1
global,Global,stall_trap,stall_trap,1,173,0.005780346820809248,0.0010210766639910194,0.03201187485872761,0
global,Global,stall_trap,transitional,69,173,0.3988439306358382,0.3288375619140225,0.4732452059415048,2
