scope,continent,horizon_years,n_obs,positive_rate,auc,average_precision,brier,top_decile_precision,top_decile_lift,warning_score_0_100,prediction_col
continent,Africa,1,572,0.2867132867132867,0.7184660449545673,0.5174672487422441,0.20122642853875858,0.6206896551724138,2.16484440706476,43.20028873379284,dynamic_hazard_fused_probability
continent,Africa,2,572,0.48776223776223776,0.6487577525780763,0.6433386377290391,0.237615507914152,0.7758620689655172,1.5906562847608454,29.89391156422261,dynamic_hazard_fused_probability
continent,Africa,3,572,0.6118881118881119,0.626010296010296,0.7369366577447436,0.26274276002219743,0.8793103448275862,1.4370443349753694,26.63738757645807,dynamic_hazard_fused_probability
continent,Asia,1,814,0.24815724815724816,0.7234274898078044,0.5224506402865376,0.20112137700421645,0.7073170731707317,2.850277710697899,51.79037026389872,dynamic_hazard_fused_probability
continent,Asia,2,814,0.4189189189189189,0.616573564878823,0.5719992422662303,0.23439482853871782,0.7560975609756098,1.8048780487804879,27.60935366943209,dynamic_hazard_fused_probability
continent,Asia,3,814,0.527027027027027,0.5695334968062241,0.6345268262311157,0.25758721431908227,0.8170731707317073,1.5503439649781114,19.275348022777152,dynamic_hazard_fused_probability
continent,Europe,1,737,0.2781546811397558,0.7490647350082523,0.5161796674462789,0.18990858633871163,0.6081081081081081,2.1862228081740276,46.661055806695636,dynamic_hazard_fused_probability
continent,Europe,2,737,0.451831750339213,0.6606309279576607,0.6049594941920587,0.23045250692641528,0.6891891891891891,1.5253226199172145,29.69665170926103,dynamic_hazard_fused_probability
continent,Europe,3,737,0.5630936227951153,0.633383222330315,0.674996915634193,0.2564738237972944,0.7162162162162162,1.27193096711169,23.741426328595622,dynamic_hazard_fused_probability
continent,North America,1,484,0.25413223140495866,0.6674098596941649,0.4315150928783569,0.20902706628482554,0.4489795918367347,1.766716442674631,31.542774076477876,dynamic_hazard_fused_probability
continent,North America,2,484,0.44214876033057854,0.6336621668397369,0.5742379504849735,0.2337142689661446,0.5918367346938775,1.3385466336067136,23.855146135010504,dynamic_hazard_fused_probability
continent,North America,3,484,0.5661157024793388,0.6251824817518248,0.6897940000287541,0.2513907558808009,0.7755102040816326,1.3698793385967525,24.768512420281002,dynamic_hazard_fused_probability
continent,Oceania,1,209,0.27751196172248804,0.7042703813656085,0.45736975631740284,0.2000039806421154,0.5238095238095238,1.88752052545156,36.770510756044104,dynamic_hazard_fused_probability
continent,Oceania,2,209,0.47368421052631576,0.6819100091827365,0.6426383886961834,0.22740500000097807,0.6666666666666666,1.4074074074074074,31.895463148030174,dynamic_hazard_fused_probability
continent,Oceania,3,209,0.5980861244019139,0.6516190476190477,0.7094621057057051,0.25661825924449355,0.7142857142857143,1.1942857142857144,25.418183366366325,dynamic_hazard_fused_probability
continent,South America,1,429,0.2517482517482518,0.7394427137417792,0.47046162282220483,0.19457602130563004,0.5116279069767442,2.032299741602067,43.03624413512624,dynamic_hazard_fused_probability
continent,South America,2,429,0.4289044289044289,0.6783052351375332,0.6264626970282522,0.22188822235879527,0.6976744186046512,1.6266430738119313,34.474811030458774,dynamic_hazard_fused_probability
continent,South America,3,429,0.5407925407925408,0.6728732714860844,0.7111320259771923,0.23935353138888799,0.7674418604651163,1.4191058540497195,32.606655609544546,dynamic_hazard_fused_probability
global,Global,1,3245,0.2650231124807396,0.7196260543123202,0.48893754301028863,0.19883512829380756,0.5876923076923077,2.217513416815742,43.27739151219934,dynamic_hazard_fused_probability
global,Global,2,3245,0.44684129429892144,0.645441936413409,0.6005498167633533,0.2318620515050604,0.7138461538461538,1.5975384615384614,28.855803695116844,dynamic_hazard_fused_probability
global,Global,3,3245,0.5624036979969184,0.6187786995948292,0.6817221959464663,0.2548459372330587,0.7907692307692308,1.4060526870389884,24.11843610831541,dynamic_hazard_fused_probability
