target,model,r2,rmse,n_train,n_test,y_std_test
delta1_cyres_t1,rf,0.012041904119017954,0.595353491906275,2065,590,0.598970789081143
delta1_cyres_t1,ridge,0.009102040172486392,0.5962386297211735,2065,590,0.598970789081143
delta1_t1,rf,-1.4241386023923015,3.7496960710654976,2065,590,2.4083374775076702
delta1_t1,ridge,-1.4457852393570017,3.7664005436343544,2065,590,2.4083374775076702
delta2_t2,rf,-3.9247368960418108,4.422833824097974,2065,295,1.993008292004585
delta2_t2,ridge,-4.498768585821142,4.673495480669288,2065,295,1.993008292004585
level_t1,rf,0.8230120411504227,3.5377588340501536,2065,590,8.409232570831541
level_t1,ridge,0.7993993229076932,3.7663663499768285,2065,590,8.409232570831541
ma2_delta_t1,ridge,0.6012679034684159,7.026314971510247,2065,885,11.127228745873296
ma2_delta_t1,rf,0.384019764123376,8.733139650293356,2065,885,11.127228745873296
