event_type,event_time,n_obs,mean_rel_growth_adj,mean_rel_risk_adj,event_phase,growth_z,risk_z,risk_forward_shift_z,envelope_signal
enter_deep_cooling,-2,721,-0.9606468572530278,-12.863771994741718,pre,-0.2354000610168994,-0.3810948035328717,0.8979910397527685,-0.1605805608803083
enter_deep_cooling,-1,721,0.0,0.0,pre,1.233205049184554,1.5673411236201935,-1.6414363793963975,0.3733793946239379
enter_deep_cooling,0,721,-1.944234349902332,-20.388254571416272,impact,-1.739076055091932,-1.5208050060786638,0.7055963123865366,-0.5034719399642773
enter_deep_cooling,1,647,-0.4009143239778414,-10.043757015206902,post,0.6203005041882264,0.0460441805443857,0.0378490272570925,0.3541583199388348
enter_deep_cooling,2,569,-0.7275370053619281,-8.442943289915437,post,0.1209705627360508,0.2885145054469574,0.0,-0.063485213718188
enter_overheating,-2,99,-2.0569650020517685,-25.585675928030128,pre,-1.0428335344034074,-1.2215754858197518,1.2832559575594176,-0.3425168687997036
enter_overheating,-1,99,0.0,0.0,pre,1.606139170767856,1.088826287493159,-0.0925171662382454,0.4935234444517685
enter_overheating,0,99,-0.8692957361785212,1.3116811565909463,impact,0.4866545535955954,1.2072718770774782,-1.499738039179645,0.0521776908516016
enter_overheating,1,88,-2.0601128338544936,-22.205493201707068,post,-1.0468873323618422,-0.9163429726359684,0.308999247858473,-0.2772053537279413
enter_overheating,2,77,-1.2495760400882316,-13.809499110199264,post,-0.0030728575982015,-0.1581797061149171,0.0,0.0740210872242752
enter_recovery_rebound,-2,68,2.280618817813607,24.79473165371138,pre,1.2107853892814493,1.6912584323268751,-1.5244744285547749,0.2742672681196489
enter_recovery_rebound,-1,68,0.0,0.0,pre,-1.5391668090840327,-0.7421040222753529,-0.0958834196239139,-0.5769791386226697
enter_recovery_rebound,0,68,0.7465996468154424,-5.058487930931408,impact,-0.6389228384465785,-1.238545555908346,1.2308951636420162,-0.0724272290021161
enter_recovery_rebound,1,62,1.992786926925176,8.212710746691515,post,0.8637199634742746,0.0638938913385256,0.3894626845366722,0.41915551891349
enter_recovery_rebound,2,54,1.3623833471256592,9.859367214494505,post,0.1035842947748881,0.2254972545182979,0.0,-0.0440164194083523
enter_surge_expansion,-2,806,0.8104197691070901,11.260678371554777,pre,0.1536914798655614,0.2010869942452534,-0.8603373325443261,0.1880411734386782
enter_surge_expansion,-1,806,0.0,0.0,pre,-1.223334414350861,-1.5837887293745585,1.688083749370907,-0.3696271716593454
enter_surge_expansion,0,806,1.749420213114383,19.509761778682737,impact,1.749195409271678,1.5086093503308748,-0.5977357440965434,0.4918705292908599
enter_surge_expansion,1,700,0.3389604979519339,11.419817834821952,post,-0.6473892059675898,0.2263114216983083,-0.2300106727300379,-0.4594084421144853
enter_surge_expansion,2,625,0.7010388466793847,7.769902417063761,post,-0.0321632688187899,-0.3522190368998776,0.0,0.1491239110442914
