indicator,year,spearman_rank_corr,n_obs
patent_residents,2015,0.4959752717754958,136
patent_residents,2016,0.4801574120610279,136
patent_residents,2017,0.4180825435655669,136
patent_residents,2018,0.4076705606921491,136
patent_residents,2019,0.4648664386269918,136
patent_residents,2020,0.4309830224159069,136
patent_residents,2021,0.4186511762716724,136
patent_residents,2022,0.4234274462761073,136
patent_residents,2023,0.4164004277253103,136
patent_residents,2024,0.4057511853992641,136
researchers_per_million,2015,0.3844366242759016,136
researchers_per_million,2016,0.3573609095518735,136
researchers_per_million,2017,0.317032661805075,136
researchers_per_million,2018,0.3526970003103934,136
researchers_per_million,2019,0.3615817835324178,136
researchers_per_million,2020,0.3757709508840139,136
researchers_per_million,2021,0.3882024239938546,136
researchers_per_million,2022,0.4169997159546708,136
researchers_per_million,2023,0.3890379307087712,136
researchers_per_million,2024,0.4076670818710483,136
high_tech_exports_share,2015,0.1351218537719155,136
high_tech_exports_share,2016,0.0896486576171142,136
high_tech_exports_share,2017,0.1275310600375446,136
high_tech_exports_share,2018,0.0774537683744668,136
high_tech_exports_share,2019,0.1242771811394673,136
high_tech_exports_share,2020,0.2188640636209816,136
high_tech_exports_share,2021,0.1678896547572449,136
high_tech_exports_share,2022,0.2158485853781727,136
high_tech_exports_share,2023,0.2442794715272085,136
high_tech_exports_share,2024,0.2500238559748406,136
employment_rate,2015,-0.2946519727112255,136
employment_rate,2016,-0.2733556048802155,136
employment_rate,2017,-0.2610610180811984,136
employment_rate,2018,-0.2495300796717713,136
employment_rate,2019,-0.2288869805829874,136
employment_rate,2020,-0.2404942512284719,136
employment_rate,2021,-0.1994895281713658,136
employment_rate,2022,-0.1969896474404846,136
employment_rate,2023,-0.2181718429464243,136
employment_rate,2024,-0.2104527455751157,136
urban_population_share,2015,0.461859939225423,136
urban_population_share,2016,0.4524805709729989,136
urban_population_share,2017,0.474736294725572,136
urban_population_share,2018,0.4624305998758333,136
urban_population_share,2019,0.4770501266698373,136
urban_population_share,2020,0.5121344980474198,136
urban_population_share,2021,0.4518699101712135,136
urban_population_share,2022,0.4677947988927759,136
urban_population_share,2023,0.450696296442782,136
urban_population_share,2024,0.4571845674617528,136
electricity_access,2015,0.5934722077739614,136
electricity_access,2016,0.6095850524820402,136
electricity_access,2017,0.5824546516404915,136
electricity_access,2018,0.5807243122826046,136
electricity_access,2019,0.6425733435383435,136
electricity_access,2020,0.6266960902452323,136
electricity_access,2021,0.5272394912536108,136
electricity_access,2022,0.5713033500921789,136
electricity_access,2023,0.6244821594982953,136
electricity_access,2024,0.6483110632779523,136
fixed_broadband_subscriptions,2015,0.5639759553456418,136
fixed_broadband_subscriptions,2016,0.5149086398549687,136
fixed_broadband_subscriptions,2017,0.4923763179237632,136
fixed_broadband_subscriptions,2018,0.5087877486761126,136
fixed_broadband_subscriptions,2019,0.525308907017795,136
fixed_broadband_subscriptions,2020,0.5459663184008395,136
fixed_broadband_subscriptions,2021,0.522503697342684,136
fixed_broadband_subscriptions,2022,0.5540479938934211,136
fixed_broadband_subscriptions,2023,0.5412367506763435,136
fixed_broadband_subscriptions,2024,0.5653840052768742,136
pm25_exposure,2015,-0.2381520897765275,136
pm25_exposure,2016,-0.2342782241762843,136
pm25_exposure,2017,-0.1572636769044543,136
pm25_exposure,2018,-0.1232647813377878,136
pm25_exposure,2019,-0.1388294199101935,136
pm25_exposure,2020,-0.1838917321356827,136
pm25_exposure,2021,-0.1956206712713944,136
pm25_exposure,2022,-0.2181315516097534,136
pm25_exposure,2023,-0.193545386128407,136
pm25_exposure,2024,-0.2181363223801971,136
electricity_broadband_proxy,2015,0.5736367539716617,136
electricity_broadband_proxy,2016,0.5397404703974046,136
electricity_broadband_proxy,2017,0.5160011449835408,136
electricity_broadband_proxy,2018,0.5278231000429369,136
electricity_broadband_proxy,2019,0.547683793712132,136
electricity_broadband_proxy,2020,0.5647392777062162,136
electricity_broadband_proxy,2021,0.5425504508372692,136
electricity_broadband_proxy,2022,0.5665521683125805,136
electricity_broadband_proxy,2023,0.5537999141262343,136
electricity_broadband_proxy,2024,0.5734840894995468,136
