candidate,graph_weight,objective,roc_auc,average_precision,brier
base,0.0,0.7112679873376674,0.7389846743295019,0.4748659476011121,0.1847779132788967
dynamic_only,0.0,0.6913549794481819,0.7240695128626164,0.4375033861679058,0.2180968894295638
graph_only,1.0,0.7158258171357598,0.7435686918445539,0.4755306997165096,0.1849524980586274
dynamic_graph_blend,0.0,0.6913549794481819,0.7240695128626164,0.4375033861679058,0.2180968894295638
dynamic_graph_blend,0.05,0.6924476793379503,0.7248221127531472,0.4398036298228031,0.215829556101313
dynamic_graph_blend,0.1,0.6953780364929598,0.7274220032840724,0.4439207555652569,0.2136264452740837
dynamic_graph_blend,0.15,0.6963830514605553,0.7281061850027367,0.4443492287723163,0.211487556947876
dynamic_graph_blend,0.2,0.696967924021799,0.7283798576902024,0.4471708135109697,0.2094128911226896
dynamic_graph_blend,0.25,0.6998009628794823,0.7309113300492611,0.4475375157055578,0.2074024477985248
dynamic_graph_blend,0.3,0.7019401866433479,0.7327586206896551,0.4530932854704705,0.2054562269753813
dynamic_graph_blend,0.35,0.7045487042351254,0.7350848385331143,0.4566005527598067,0.2035742286532594
dynamic_graph_blend,0.4,0.7061897340456196,0.7364532019704434,0.4603658737920093,0.2017564528321589
dynamic_graph_blend,0.45,0.7076842941372274,0.7376847290640395,0.4613703100093169,0.2000028995120799
dynamic_graph_blend,0.5,0.7086218754787504,0.7383689107827038,0.463623968914581,0.1983135686930223
dynamic_graph_blend,0.55,0.7085235508671237,0.7380268199233716,0.4656877132488336,0.1966884603749863
dynamic_graph_blend,0.6000000000000001,0.7099207926614054,0.7391899288451012,0.4689527780486188,0.1951275745579717
dynamic_graph_blend,0.65,0.7109663102212018,0.7400109469074986,0.4721082516687966,0.1936309112419785
dynamic_graph_blend,0.7000000000000001,0.711386430859047,0.740216201423098,0.4635997488910623,0.1921984704270068
dynamic_graph_blend,0.75,0.7112495727468072,0.7398741105637657,0.4647708495020981,0.1908302521130566
dynamic_graph_blend,0.8,0.7120609356655446,0.7404898741105638,0.4655212528705348,0.1895262563001278
dynamic_graph_blend,0.8500000000000001,0.7138205196152589,0.742063492063492,0.4683564674135804,0.1882864829882205
dynamic_graph_blend,0.9,0.7145441976118234,0.7426108374384236,0.4708664480227114,0.1871109321773347
dynamic_graph_blend,0.95,0.7158055876081663,0.7437055281882868,0.4732000490778931,0.1859996038674703
dynamic_graph_blend,1.0,0.7158258171357598,0.7435686918445539,0.4755306997165096,0.1849524980586274
