scope,year,dynamic_pulse_index_mean,forecast_mean,forecast_ci_low_95,forecast_ci_high_95,trend_estimate,forecast_error,is_forecast,city_count,continent
global,2015,7.116271129158851,,,,-0.5834578221532389,,0,,Global
global,2016,73.33779124802436,6.532813307005612,-41.15162490987898,54.217251523890205,15.449736883691262,66.80497794101875,0,,Global
global,2017,62.66620527977207,88.78752813171562,41.103089914831024,136.4719663486002,9.18061939922481,-26.121322851943557,0,,Global
global,2018,53.09717822253596,71.84682467899688,24.162386462112288,119.53126289588148,4.68070424967419,-18.749646456460923,0,,Global
global,2019,52.99071215750381,57.77788247221015,10.093444255325558,105.46232068909477,3.531783374144668,-4.787170314706344,0,,Global
global,2020,63.48286321288146,69.4157196813436,21.73128146445901,117.1001578982282,5.2022716176405845,-5.932856468462141,0,,Global
global,2021,56.799396967574886,54.66147711414754,6.977038897262951,102.34591533103212,2.349694530533266,2.1379198534273414,0,,Global
global,2022,55.73894738830056,73.60565955757941,25.92122134069482,121.29009777446402,1.531259944179444,-17.866712169278856,0,,Global
global,2023,61.49291433809955,67.60139122357288,19.91695300668828,115.28582944045746,2.544709625528136,-6.108476885473323,0,,Global
global,2024,50.42922077950589,55.450485494304,7.76604727741941,103.1349237111886,-0.7213071386610956,-5.021264714798114,0,,Global
global,2025,59.728959376255794,63.797485227109256,16.113047010224662,111.48192344399384,1.683743837837544,-4.068525850853462,0,,Global
global,2026,,66.91221938902332,19.227781172138727,114.59665760590792,1.683743837837544,,1,,Global
